track_id,explicit,energy,mode,instrumentalness,liveness,valence,popularity_norm,duration_ms_norm,danceability_norm,key_norm,loudness_norm,speechiness_norm,acousticness_norm,tempo_norm,time_signature_norm,col1|activation,col1|amazement,col1|calmness,col1|joyful,col1|nostalgia,col1|power,col1|sadness,col1|solemnity,col1|tenderness,col1|tension,col1|country,col1|hip,col1|hop,col1|reggae,col1|rock
17,0JOw67rq2X6NDz5AJP9uIG,0,0.884,0,0.000673,0.497,0.94,0.6,0.0231313482644858,0.3461150353178607,0.4545454545454546,0.8547020313264806,0.1328527291452111,0.6224899598393575,0.721447676565969,0.8,0.0,0.0,0.0,0.0,0.0,0.5745568242494861,0.0,0.644304926335649,0.0,0.50473321429044,0.0,0.0,0.0,0.0,1.0
18,6xNwKNYZcvgV3XTIwsgNio,0,0.21,1,1.62e-06,0.107,0.717,0.61,0.0221108554588443,0.7023208879919273,0.3636363636363636,0.7354074889867841,0.0690010298661174,0.8433734939759037,0.3796680750544888,0.8,0.6221891139766611,0.0,0.0,0.6221891139766611,0.0,0.0,0.4751435708266238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,2IfE8FhnPPEBSS4rL1qhBb,0,0.295,1,1.42e-06,0.0856,0.729,0.61,0.0221820567709421,0.7003027245206861,0.8181818181818182,0.7851199216837983,0.0629248197734294,0.8463855421686747,0.3798060727085287,0.8,0.6221891139766611,0.0,0.0,0.6221891139766611,0.0,0.0,0.4751435708266238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,5ueyLj6e6oVaTY0KQ6yLaA,0,0.468,1,6.35e-06,0.144,0.952,0.6,0.0202453810818825,0.6296670030272452,0.9090909090909092,0.7317364170337738,0.1359423274974253,0.8845381526104418,0.3009120021430224,0.8,0.48886370739555574,0.0,0.0,0.48886370739555574,0.0,0.4482862596955674,0.0,0.0,0.4074056813507101,0.3938078101742868,0.0,0.0,0.0,0.0,1.0
21,6A28sLdLOf9vohN5LVl5KR,0,0.468,1,0.000134,0.177,0.946,0.53,0.020295222000351,0.6942482341069626,0.9090909090909092,0.7265204356338717,0.1544799176107106,0.893574297188755,0.3037247190327176,0.8,0.48886370739555574,0.0,0.0,0.48886370739555574,0.0,0.4482862596955674,0.0,0.0,0.4074056813507101,0.3938078101742868,0.0,0.0,0.0,0.0,1.0
22,3OeX4IyrnpwkElW5iS8leo,0,0.656,1,0.0,0.139,0.947,0.5700000000000001,0.0204068300570642,0.7124117053481331,0.9090909090909092,0.8129435878609886,0.1225540679711637,0.8323293172690763,0.3036313676785142,0.8,0.48886370739555574,0.0,0.0,0.48886370739555574,0.0,0.4482862596955674,0.0,0.0,0.4074056813507101,0.3938078101742868,0.0,0.0,0.0,0.0,1.0
23,6YffUZJ2R06kyxyK6onezL,0,0.585,1,0.000213,0.348,0.784,0.72,0.0276052827101497,0.6649848637739657,0.6363636363636364,0.7925079539892315,0.0296601441812564,0.6255020080321285,0.4225609929337084,0.8,0.4205762121923752,0.5367550766191356,0.0,0.4205762121923752,0.3634850241019327,0.0,0.32117900936678384,0.0,0.3504967451991572,0.0,1.0,0.0,0.0,0.0,0.0
24,5rDkA2TFOImbiVenmnE9r4,0,0.517,1,0.000158,0.431,0.676,0.6,0.0271211137878848,0.6670030272452069,0.6363636363636364,0.7953377386196769,0.0277033985581874,0.2680722891566265,0.4243955499815326,0.8,0.4205762121923752,0.5367550766191356,0.0,0.4205762121923752,0.3634850241019327,0.0,0.32117900936678384,0.0,0.3504967451991572,0.0,1.0,0.0,0.0,0.0,0.0
25,39zODpVtRvghMyfNjZ3BVK,0,0.513,1,8.64e-06,0.108,0.955,0.59,0.0242611350841973,0.6528758829465187,0.6363636363636364,0.7285242290748898,0.0433573635427394,0.7610441767068273,0.5342985051607063,0.8,0.4809420161943344,0.6137961712244256,0.0,0.4809420161943344,0.0,0.0,0.0,0.0,0.4008039599456229,0.0,0.0,0.0,0.0,0.0,1.0
26,4CztQckkyknWT9MxYtSaIa,0,0.695,1,0.696,0.607,0.806,0.48,0.02523890710258,0.4429868819374369,0.6363636363636364,0.752172050905531,0.0844490216271884,0.966867469879518,0.5343877977603793,0.8,0.4809420161943344,0.6137961712244256,0.0,0.4809420161943344,0.0,0.0,0.0,0.0,0.4008039599456229,0.0,0.0,0.0,0.0,0.0,1.0
