,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Labels,Labels_list
8067,6N5DRCQUSXT1qQqmqsO92B,Party All the Time,60,253293,0,Eddie Murphy,['1Zq8pfBl4ejCMrWdeAdphc'],1985-02-05 00:00:00,0.699,0.692,11,-13.045,1,0.0456,0.00979,0.000326,0.0427,0.677,135.03,4,"joyful activation, tenderness","['joyful activation', 'tenderness']"
8068,2ZIzyHDYsXIHUojfr6bAbO,Don't Lose My Number - 2016 Remaster,60,288547,0,Phil Collins,['4lxfqrEsLX6N1N4OCSkILp'],1985-01-25 00:00:00,0.585,0.832,5,-5.016,0,0.0814,0.168,5.09e-05,0.0634,0.952,80.614,4,"power, tension, sadness","['power', 'tension', 'sadness']"
8069,09C7ULYG1WhWgngwkkvVxN,Rough Boy,60,289160,0,ZZ Top,['2AM4ilv6UzW0uMRuqKtDgN'],1985-10-28 00:00:00,0.457,0.48,9,-15.776,1,0.03,0.38,0.016,0.142,0.683,157.967,4,"power, tension","['power', 'tension']"
8070,66rdGSb6FMm0neFXxmJdPQ,Who's Holding Donna Now?,59,267733,0,DeBarge,['6is2U7I1jlI8PjxNZOHIMV'],1985,0.658,0.334,3,-14.648,0,0.0254,0.423,2.21e-05,0.127,0.647,90.173,4,tenderness,['tenderness']
8071,2lnQcP5hr4RKR63TFvnI4k,Overjoyed,59,222586,0,Stevie Wonder,['7guDJrEfX3qb6FEbdPA5qi'],1985-09-13 00:00:00,0.221,0.264,10,-17.533,1,0.0332,0.541,0.0,0.148,0.169,83.128,4,"nostalgia, tenderness, sadness","['nostalgia', 'tenderness', 'sadness']"
8072,53pZ8y3yMYUNpclGwIufu0,Conga,59,255760,0,"Gloria Estefan, Miami Sound Machine","['5IFCkqu9J6xdWeYMk5I889', '18xgcedCGxFbqLbIQn5R8F']",1985,0.791,0.86,2,-8.282,1,0.0451,0.118,0.105,0.0614,0.906,122.3,4,"joyful activation, tenderness","['joyful activation', 'tenderness']"
8073,2Qu65QrO1DiWVJIteOD9ri,"Twinkle, Twinkle, Little Star",59,71160,0,Raffi,['7oWSqrgMuIEyH9qp5nu2e5'],1985,0.728,0.0392,0,-22.703,1,0.0354,0.964,0.0431,0.167,0.484,97.764,4,nostalgia,['nostalgia']
8074,3X9XJLwQPWqRnsNaL9z6ss,Trois nuits par semaine,59,312533,0,Indochine,['7knmbOGe07k85GmK50vACB'],1985-12-10 00:00:00,0.74,0.783,9,-13.726,0,0.0292,0.0176,0.000645,0.0877,0.906,137.292,4,sadness,['sadness']
8075,14g6foD6sxO1qgkDKuPgWv,Swingin Party - 2008 Remaster,59,233573,0,The Replacements,['4WPY0N74T3KUja57xMQTZ3'],1985,0.647,0.69,6,-8.657,0,0.0454,0.0224,0.0,0.147,0.682,117.514,4,"power, tension, sadness","['power', 'tension', 'sadness']"
8076,3Od5XBElZqm5N6rr86LS5r,Rain,59,236467,0,The Cult,['49DW3KvkyjHO35mK1JnSyS'],1985-10-18 00:00:00,0.561,0.845,0,-6.981,1,0.0328,0.000648,0.823,0.347,0.605,122.731,4,tenderness,['tenderness']
8077,5PKtqiUwkjveVYzmj4gMnz,"Training Montage - From ""Rocky IV"" Soundtrack",59,219080,0,Vince DiCola,['5Q2nBzXfyXGIEf8KpHqeHn'],1985,0.578,0.748,7,-8.702,1,0.0546,0.0145,0.723,0.11,0.345,81.107,3,"power, tension","['power', 'tension']"
8078,6IeJcGYibtUKl9QnAupnYi,Si no te tengo a ti,59,286480,0,Hombres G,['60uh2KYYSCqAgJNxcU4DA0'],1985-01-01 00:00:00,0.822,0.506,9,-10.595,1,0.0426,0.493,0.147,0.103,0.263,128.026,4,tension,['tension']
8079,4M2tEAdFRdg0U8rAgYa8o2,Duel,58,288227,0,Propaganda,['28yIUgPYZqgJoNZjeBvrHn'],1985-07-01 00:00:00,0.672,0.697,5,-11.321,0,0.0343,0.252,0.407,0.118,0.528,144.873,4,"nostalgia, tension, sadness","['nostalgia', 'tension', 'sadness']"
